BlueDriver Data Log
Sep. 15, 2019 5:15:30 p.m.
Time (s),Absolute Throttle Position (%),Intake Air Temperature (°C),Engine RPM (rpm),Intake Manifold Absolute Pressure (kPa),Vehicle Speed (km/h)
0.0,,,,,
1.9,10.2,64,828,31.0,0
3.8,10.2,64,822,30.0,0
5.7,10.2,64,816,30.0,0
7.6,10.2,64,814,31.0,0
9.5,10.2,64,822,31.0,0
11.4,10.2,64,828,31.0,0
13.3,10.2,64,819,30.7,0
15.2,10.2,64,832,30.1,0
17.1,10.2,64,829,30.9,0
19.0,10.2,64,826,30.0,0
20.9,10.2,64,819,30.0,0
22.8,10.2,64,818,30.0,0
24.7,10.2,64,825,30.5,0
26.6,10.2,64,825,30.9,0
28.5,10.2,64,826,31.0,0
30.4,10.2,64,819,30.8,0
32.3,10.2,64,831,30.8,0
34.2,10.2,64,830,30.0,0
36.1,10.2,64,830,30.3,0
38.0,10.2,64,812,30.1,0
39.9,10.3,64,818,32.7,0
41.8,11.0,64,822,34.8,0
43.7,10.6,64,830,33.6,0
45.6,10.6,64,823,32.1,0
47.5,10.6,64,836,32.0,0
49.4,10.6,64,825,32.0,0
51.3,10.6,64,824,32.7,0
53.2,10.4,64,819,31.9,0
55.1,10.2,64,816,30.4,0
57.0,10.6,64,820,30.5,0
58.9,10.2,64,817,30.8,0
60.8,10.2,64,823,30.8,0
62.7,10.2,64,815,30.0,0
64.6,10.3,64,826,29.2,0
66.5,10.2,64,823,30.9,0
68.4,10.4,64,830,30.9,0
70.3,10.6,64,823,30.3,0
72.2,10.2,64,825,31.0,0
74.1,10.2,64,825,30.6,0
76.0,10.2,64,822,30.4,0
77.9,10.2,64,824,31.0,0
79.8,10.2,64,827,31.6,0
81.7,10.2,64,821,30.6,0
83.6,10.2,64,826,30.5,0
85.5,10.2,64,833,30.6,0
87.4,10.2,64,833,30.6,0
89.3,10.2,64,823,30.4,0
91.2,10.2,64,824,31.0,0
93.1,10.2,64,824,30.5,0
95.0,10.3,64,823,31.0,0
96.9,10.3,64,825,30.6,0
98.8,10.2,64,833,30.0,0
100.7,10.2,64,838,30.9,0
102.6,10.2,64,829,30.4,0
104.5,10.2,64,822,30.0,0
106.4,10.2,64,820,31.8,0
108.3,10.6,64,818,31.7,0
110.2,10.6,64,832,32.0,0
112.1,10.2,64,830,30.3,0
114.0,10.4,64,821,32.0,0
115.9,10.4,64,826,30.9,0
117.8,10.4,64,821,31.0,0
119.7,10.3,64,829,31.0,0
121.6,10.3,64,821,31.0,0
123.5,10.5,64,828,31.0,0
125.4,10.3,64,825,31.2,0
127.3,10.6,64,828,31.0,0
129.2,10.6,64,832,32.0,0
131.1,10.2,64,822,31.0,0
133.0,10.2,64,822,30.3,0
134.9,10.5,64,821,32.0,0
136.8,10.2,64,815,31.5,0
138.7,10.5,64,830,32.0,0
140.6,10.3,64,825,30.4,0
142.5,10.4,64,822,31.9,0
144.4,10.6,64,840,31.1,0
146.3,10.2,64,828,31.0,0
148.2,10.2,64,814,31.9,0
150.1,11.6,64,816,31.2,0
152.0,24.5,64,3815,45.1,0
153.9,11.5,63,1788,23.3,0
155.8,10.2,63,815,25.5,0
157.7,10.6,63,726,32.0,0
159.6,10.6,63,799,30.8,0
161.5,10.7,63,781,28.6,0
163.4,11.3,63,779,34.3,0
165.3,10.6,63,766,31.0,0
167.2,10.6,63,751,30.8,0
169.1,10.8,64,776,30.3,0
171.0,11.3,63,1138,38.2,0
172.9,17.3,63,1237,51.9,1
174.8,15.3,63,1147,65.0,6
176.7,18.2,63,1741,72.0,15
178.6,29.2,63,3184,98.9,27
180.5,18.2,62,4476,47.7,44
182.4,24.3,61,3284,77.0,49
184.3,22.6,59,3746,69.0,55
186.2,23.3,56,4056,68.9,60
188.1,14.5,54,3030,25.2,61
190.0,21.0,53,2773,61.4,61
191.9,19.0,52,2906,72.2,63
193.8,13.7,50,2886,25.3,64
195.7,13.2,50,2732,26.6,60
197.6,12.9,51,2561,27.0,56
199.5,12.9,51,2407,26.6,53
201.4,12.5,51,2189,26.1,48
203.3,17.0,51,2077,52.1,45
205.2,20.9,49,2240,82.8,49
207.1,13.2,48,2286,29.4,49
209.0,25.4,49,2181,60.3,48
210.9,13.5,47,2075,110.6,51
212.8,41.2,47,3724,170.7,55
214.7,42.0,46,4697,151.0,75
216.6,31.5,46,3638,132.6,80
218.5,21.7,47,3900,93.7,88
220.4,14.0,46,3187,28.4,88
222.3,11.2,45,1553,23.8,78
224.2,10.4,45,833,27.5,57
226.1,10.2,45,743,31.0,35
228.0,10.7,46,1025,30.0,33
229.9,18.5,47,2092,51.7,30
231.8,19.3,46,2504,67.4,37
233.7,23.2,46,2790,84.2,41
235.6,28.0,45,3633,107.2,53
237.5,26.0,45,4539,61.3,67
239.4,13.7,45,3148,27.0,68
241.3,15.5,45,4110,25.7,62
243.2,27.5,45,4242,101.4,62
245.1,30.2,45,5009,108.0,74
247.0,32.2,45,3940,61.1,79
248.9,33.3,45,4078,130.7,89
250.8,26.7,45,4443,74.9,98
252.7,14.5,44,3466,23.4,98
254.6,13.8,43,3335,25.8,94
256.5,13.5,43,3071,25.1,87
258.4,12.4,42,2515,25.3,72
260.3,11.3,43,1498,24.7,51
262.2,12.7,43,2528,47.7,42
264.1,12.9,44,2521,26.2,37
266.0,22.5,44,2451,64.8,36
267.9,31.3,43,3289,131.9,48
269.8,83.8,43,4547,162.1,66
271.7,22.3,43,3801,89.2,78
273.6,29.9,43,3951,118.6,86
275.5,15.1,43,4110,32.1,90
277.4,39.0,42,3941,122.9,87
279.3,25.0,42,4373,105.1,96
281.2,14.9,41,4286,25.6,94
283.1,14.5,41,3747,27.0,82
285.0,13.7,41,2934,26.0,67
286.9,51.0,41,2362,77.2,51
288.8,31.4,41,2383,62.6,51
290.7,25.1,40,2649,103.1,58
292.6,27.1,39,3008,106.8,66
294.5,67.7,39,3594,188.4,78
296.4,11.9,40,3640,34.5,90
298.3,28.0,40,3137,84.1,88
300.2,27.7,40,3362,114.0,95
302.1,19.7,39,3392,58.8,97
304.0,11.8,38,1878,23.2,89
305.9,13.6,38,3811,26.8,70
307.8,14.3,38,3602,26.8,53
309.7,19.4,38,3224,37.8,47
311.6,30.2,38,3816,119.1,56
313.5,21.1,38,4433,106.1,70
315.4,26.9,39,3505,120.2,77
317.3,17.7,39,3697,28.8,81
319.2,17.6,39,3501,27.2,76
321.1,59.2,38,3587,134.6,79
323.0,86.3,38,4259,193.8,93
324.9,35.7,40,4298,30.6,105
326.8,28.2,41,3891,105.1,109
328.7,14.6,40,4278,71.9,111
330.6,15.7,39,4767,26.9,105
332.5,15.0,37,4110,25.4,91
334.4,12.8,37,2640,24.8,66
336.3,12.1,38,1632,25.7,47
338.2,20.3,38,2977,73.9,44
340.1,35.2,38,3666,125.4,54
342.0,63.9,38,4586,63.1,70
343.9,76.6,38,3733,196.0,81
345.8,27.8,39,4391,71.0,95
347.7,14.8,39,4087,27.0,90
349.6,27.5,38,3819,74.9,84
351.5,15.3,37,3861,35.1,85
353.4,14.5,37,3664,26.1,81
355.3,13.5,37,3138,22.6,69
357.2,11.0,37,1416,23.0,52
359.1,19.8,37,3107,28.4,43
361.0,64.2,37,3620,147.6,52
362.9,86.7,38,4814,125.1,71
364.8,51.7,39,3613,136.6,79
366.7,70.6,40,4229,167.4,92
368.6,48.5,40,4549,176.6,105
370.5,26.7,40,3728,117.2,106
372.4,15.1,39,3641,25.1,103
374.3,14.5,37,3418,26.0,96
376.2,12.4,36,2323,23.0,80
378.1,11.0,36,1066,28.2,57
380.0,13.3,36,2274,28.0,48
381.9,64.5,37,2320,135.1,50
383.8,32.7,37,3060,179.1,67
385.7,24.4,39,3603,97.3,80
387.6,25.5,38,3780,93.3,83
389.5,15.4,37,3737,29.9,82
391.4,57.0,37,3892,134.2,85
393.3,86.6,37,4531,195.3,99
395.2,21.4,38,3942,75.4,107
397.1,28.5,39,4001,107.9,113
399.0,16.6,38,4050,32.4,115
400.9,14.6,36,3563,25.0,102
402.8,14.3,35,3606,24.6,85
404.7,85.5,35,3827,45.2,66
406.6,14.4,36,3303,24.8,48
408.5,28.6,36,3579,117.1,53
410.4,55.1,37,4479,153.5,66
412.3,31.4,37,3748,84.0,77
414.2,30.5,38,3962,117.9,87
416.1,15.2,38,4170,42.2,92
418.0,32.7,36,3916,39.1,86
419.9,76.9,36,4271,121.5,93
421.8,15.6,36,4399,28.2,97
423.7,14.5,36,3824,25.0,84
425.6,13.7,36,2953,26.3,67
427.5,24.0,36,2432,26.6,53
429.4,36.6,36,2773,137.1,60
431.3,38.3,37,3391,170.9,74
433.2,34.4,38,3905,136.5,85
435.1,14.0,38,4079,75.8,95
437.0,23.6,37,3365,82.2,95
438.9,31.3,36,3526,133.0,99
440.8,22.7,36,3661,41.5,105
442.7,11.4,35,1696,25.0,91
444.6,10.6,34,940,27.2,68
446.5,13.2,34,3186,27.0,54
448.4,22.8,34,3196,47.7,46
450.3,35.9,35,3794,137.3,55
452.2,78.0,35,5125,192.9,75
454.1,27.6,37,3787,93.5,82
456.0,15.5,37,3815,38.1,84
457.9,29.6,36,3730,95.1,83
459.8,86.4,36,4214,199.8,92
461.7,38.4,37,4957,72.8,107
463.6,18.6,39,3805,39.0,107
465.5,17.5,38,3740,41.9,106
467.4,15.1,38,3649,27.2,103
469.3,13.6,36,3132,21.9,90
471.2,11.8,35,1860,43.4,76
473.1,12.9,35,2690,27.9,59
475.0,12.5,36,2082,28.5,46
476.9,48.7,36,2144,133.6,47
478.8,37.3,36,2790,174.2,60
480.7,86.3,37,3548,177.2,77
482.6,61.3,37,4362,204.3,95
484.5,15.1,38,3678,29.1,101
486.4,17.5,37,3431,50.8,97
488.3,20.9,37,3463,73.3,98
490.2,13.9,36,3100,27.7,88
492.1,12.6,35,2383,22.2,72
494.0,14.0,34,2775,25.1,64
495.9,40.2,35,3618,37.0,52
497.8,47.5,36,4565,196.1,67
499.7,77.3,37,3530,141.5,76
501.6,40.2,38,4108,155.3,91
503.5,15.7,38,4168,33.9,91
505.4,25.9,36,4042,65.4,88
507.3,32.5,36,4371,128.0,95
509.2,15.4,36,4090,51.6,101
511.1,11.8,34,2062,23.8,90
513.0,16.8,34,3451,61.4,75
514.9,14.5,34,3905,26.1,58
516.8,25.7,34,3573,121.7,51
518.7,81.2,36,4207,171.1,62
520.6,27.7,38,5080,173.6,81
522.5,17.8,37,3725,27.9,82
524.4,15.1,37,3546,27.0,78
526.3,65.5,37,3728,164.2,81
528.2,78.4,38,4353,209.8,95
530.1,33.6,38,5220,183.4,114
532.0,16.5,38,5201,26.6,115
533.9,16.7,36,4994,27.0,110
535.8,15.9,35,4732,25.0,103
537.7,15.1,35,3970,27.8,88
539.6,12.5,35,2322,25.0,68
